2024-09-22 17:56:33 status half-installed libsepol2:armhf 3.5-2build1
2024-09-22 17:56:33 status unpacked libsepol2:armhf 3.5-2build1
2024-09-22 17:56:34 install libsmartcols1:armhf <none> 2.39.3-9ubuntu6
2024-09-22 17:56:34 status half-installed libsmartcols1:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:34 status unpacked libsmartcols1:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:35 install libss2:armhf <none> 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:35 status half-installed libss2:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:36 status unpacked libss2:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:37 install libssl3t64:armhf <none> 3.0.13-0ubuntu3
2024-09-22 17:56:37 status half-installed libssl3t64:armhf 3.0.13-0ubuntu3
2024-09-22 17:56:37 status unpacked libssl3t64:armhf 3.0.13-0ubuntu3
2024-09-22 17:56:38 install libsystemd0:armhf <none> 255.4-1ubuntu8
2024-09-22 17:56:38 status half-installed libsystemd0:armhf 255.4-1ubuntu8
2024-09-22 17:56:38 status unpacked libsystemd0:armhf 255.4-1ubuntu8
2024-09-22 17:56:39 install libtinfo6:armhf <none> 6.4+20240113-1ubuntu2
2024-09-22 17:56:39 status half-installed libtinfo6:armhf 6.4+20240113-1ubuntu2
2024-09-22 17:56:39 status unpacked libtinfo6:armhf 6.4+20240113-1ubuntu2
2024-09-22 17:56:40 install libudev1:armhf <none> 255.4-1ubuntu8
2024-09-22 17:56:40 status half-installed libudev1:armhf 255.4-1ubuntu8
2024-09-22 17:56:40 status unpacked libudev1:armhf 255.4-1ubuntu8
2024-09-22 17:56:41 install libuuid1:armhf <none> 2.39.3-9ubuntu6
2024-09-22 17:56:41 status half-installed libuuid1:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:41 status unpacked libuuid1:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:42 install libzstd1:armhf <none> 1.5.5+dfsg2-2build1
2024-09-22 17:56:42 status half-installed libzstd1:armhf 1.5.5+dfsg2-2build1
2024-09-22 17:56:42 status unpacked libzstd1:armhf 1.5.5+dfsg2-2build1
2024-09-22 17:56:43 install login:armhf <none> 1:4.13+dfsg1-4ubuntu3
2024-09-22 17:56:43 status half-installed login:armhf 1:4.13+dfsg1-4ubuntu3
2024-09-22 17:56:44 status unpacked login:armhf 1:4.13+dfsg1-4ubuntu3
2024-09-22 17:56:45 install logsave:armhf <none> 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:45 status half-installed logsave:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:45 status unpacked logsave:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:45 upgrade mawk:armhf 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2024-09-22 17:56:45 status half-configured mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:56:45 status unpacked mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:56:46 status half-installed mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:56:46 status unpacked mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:56:46 install mount:armhf <none> 2.39.3-9ubuntu6
2024-09-22 17:56:46 status half-installed mount:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:47 status unpacked mount:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:49 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2024-09-22 17:56:49 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-09-22 17:56:49 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-09-22 17:56:50 install ncurses-bin:armhf <none> 6.4+20240113-1ubuntu2
2024-09-22 17:56:50 status half-installed ncurses-bin:armhf 6.4+20240113-1ubuntu2
2024-09-22 17:56:50 status unpacked ncurses-bin:armhf 6.4+20240113-1ubuntu2
2024-09-22 17:56:51 install passwd:armhf <none> 1:4.13+dfsg1-4ubuntu3
2024-09-22 17:56:51 status half-installed passwd:armhf 1:4.13+dfsg1-4ubuntu3
2024-09-22 17:56:51 status unpacked passwd:armhf 1:4.13+dfsg1-4ubuntu3
2024-09-22 17:56:52 upgrade perl-base:armhf 5.38.2-3.2build2 5.38.2-3.2build2
2024-09-22 17:56:52 status half-configured perl-base:armhf 5.38.2-3.2build2
2024-09-22 17:56:53 status unpacked perl-base:armhf 5.38.2-3.2build2
2024-09-22 17:56:53 status half-installed perl-base:armhf 5.38.2-3.2build2
2024-09-22 17:56:54 status unpacked perl-base:armhf 5.38.2-3.2build2
2024-09-22 17:56:55 install procps:armhf <none> 2:4.0.4-4ubuntu3
2024-09-22 17:56:55 status half-installed procps:armhf 2:4.0.4-4ubuntu3
2024-09-22 17:56:55 status unpacked procps:armhf 2:4.0.4-4ubuntu3
2024-09-22 17:56:56 install sed:armhf <none> 4.9-2build1
2024-09-22 17:56:56 status half-installed sed:armhf 4.9-2build1
2024-09-22 17:56:56 status unpacked sed:armhf 4.9-2build1
2024-09-22 17:56:57 install sensible-utils:all <none> 0.0.22
2024-09-22 17:56:57 status half-installed sensible-utils:all 0.0.22
2024-09-22 17:56:57 status unpacked sensible-utils:all 0.0.22
2024-09-22 17:56:57 install sysvinit-utils:armhf <none> 3.08-6ubuntu3
2024-09-22 17:56:57 status half-installed sysvinit-utils:armhf 3.08-6ubuntu3
2024-09-22 17:56:58 status unpacked sysvinit-utils:armhf 3.08-6ubuntu3
2024-09-22 17:56:58 install tar:armhf <none> 1.35+dfsg-3build1
2024-09-22 17:56:58 status half-installed tar:armhf 1.35+dfsg-3build1
2024-09-22 17:56:59 status unpacked tar:armhf 1.35+dfsg-3build1
2024-09-22 17:57:00 install util-linux:armhf <none> 2.39.3-9ubuntu6
2024-09-22 17:57:00 status half-installed util-linux:armhf 2.39.3-9ubuntu6
2024-09-22 17:57:01 status unpacked util-linux:armhf 2.39.3-9ubuntu6
2024-09-22 17:57:02 install zlib1g:armhf <none> 1:1.3.dfsg-3.1ubuntu2
2024-09-22 17:57:02 status half-installed zlib1g:armhf 1:1.3.dfsg-3.1ubuntu2
2024-09-22 17:57:02 status unpacked zlib1g:armhf 1:1.3.dfsg-3.1ubuntu2
2024-09-22 17:57:03 startup packages configure
2024-09-22 17:57:03 configure gcc-14-base:armhf 14-20240412-0ubuntu1 <none>
2024-09-22 17:57:03 status unpacked gcc-14-base:armhf 14-20240412-0ubuntu1
2024-09-22 17:57:03 status half-configured gcc-14-base:armhf 14-20240412-0ubuntu1
2024-09-22 17:57:03 status installed gcc-14-base:armhf 14-20240412-0ubuntu1
2024-09-22 17:57:03 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2024-09-22 17:57:03 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-09-22 17:57:03 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2024-09-22 17:57:03 status installed libaudit-common:all 1:3.1.2-2.1build1
2024-09-22 17:57:03 configure libsemanage-common:all 3.5-1build5 <none>
2024-09-22 17:57:03 status unpacked libsemanage-common:all 3.5-1build5
2024-09-22 17:57:04 status half-configured libsemanage-common:all 3.5-1build5
2024-09-22 17:57:04 status installed libsemanage-common:all 3.5-1build5
2024-09-22 17:57:04 configure debconf:all 1.5.86ubuntu1 <none>
2024-09-22 17:57:04 status unpacked debconf:all 1.5.86ubuntu1
2024-09-22 17:57:04 status half-configured debconf:all 1.5.86ubuntu1
2024-09-22 17:57:06 status installed debconf:all 1.5.86ubuntu1
2024-09-22 17:57:06 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2024-09-22 17:57:06 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-09-22 17:57:06 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2024-09-22 17:57:06 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-09-22 17:57:06 configure init-system-helpers:all 1.66ubuntu1 <none>
2024-09-22 17:57:06 status unpacked init-system-helpers:all 1.66ubuntu1
2024-09-22 17:57:07 status half-configured init-system-helpers:all 1.66ubuntu1
2024-09-22 17:57:07 status installed init-system-helpers:all 1.66ubuntu1
2024-09-22 17:57:07 configure sensible-utils:all 0.0.22 <none>
2024-09-22 17:57:07 status unpacked sensible-utils:all 0.0.22
2024-09-22 17:57:07 status half-configured sensible-utils:all 0.0.22
2024-09-22 17:57:07 status installed sensible-utils:all 0.0.22
2024-09-22 17:57:07 configure libgcc-s1:armhf 14-20240412-0ubuntu1 <none>
2024-09-22 17:57:07 status unpacked libgcc-s1:armhf 14-20240412-0ubuntu1
2024-09-22 17:57:07 status half-configured libgcc-s1:armhf 14-20240412-0ubuntu1
2024-09-22 17:57:08 status installed libgcc-s1:armhf 14-20240412-0ubuntu1
2024-09-22 17:57:08 configure libc6:armhf 2.39-0ubuntu8 <none>
2024-09-22 17:57:08 status unpacked libc6:armhf 2.39-0ubuntu8
