2024-09-21 17:39:58 status half-installed passwd:armhf 1:4.8.1-1ubuntu5
2024-09-21 17:39:59 status unpacked passwd:armhf 1:4.8.1-1ubuntu5
2024-09-21 17:40:00 upgrade perl-base:armhf 5.30.0-9build1 5.30.0-9build1
2024-09-21 17:40:00 status half-configured perl-base:armhf 5.30.0-9build1
2024-09-21 17:40:00 status unpacked perl-base:armhf 5.30.0-9build1
2024-09-21 17:40:00 status half-installed perl-base:armhf 5.30.0-9build1
2024-09-21 17:40:02 status unpacked perl-base:armhf 5.30.0-9build1
2024-09-21 17:40:03 install procps:armhf <none> 2:3.3.16-1ubuntu2
2024-09-21 17:40:03 status half-installed procps:armhf 2:3.3.16-1ubuntu2
2024-09-21 17:40:04 status unpacked procps:armhf 2:3.3.16-1ubuntu2
2024-09-21 17:40:04 install sed:armhf <none> 4.7-1
2024-09-21 17:40:04 status half-installed sed:armhf 4.7-1
2024-09-21 17:40:04 status unpacked sed:armhf 4.7-1
2024-09-21 17:40:05 install sensible-utils:all <none> 0.0.12+nmu1
2024-09-21 17:40:05 status half-installed sensible-utils:all 0.0.12+nmu1
2024-09-21 17:40:05 status unpacked sensible-utils:all 0.0.12+nmu1
2024-09-21 17:40:05 install sysvinit-utils:armhf <none> 2.96-2.1ubuntu1
2024-09-21 17:40:05 status half-installed sysvinit-utils:armhf 2.96-2.1ubuntu1
2024-09-21 17:40:06 status unpacked sysvinit-utils:armhf 2.96-2.1ubuntu1
2024-09-21 17:40:07 install tar:armhf <none> 1.30+dfsg-7
2024-09-21 17:40:07 status half-installed tar:armhf 1.30+dfsg-7
2024-09-21 17:40:07 status unpacked tar:armhf 1.30+dfsg-7
2024-09-21 17:40:08 install util-linux:armhf <none> 2.34-0.1ubuntu9
2024-09-21 17:40:08 status half-installed util-linux:armhf 2.34-0.1ubuntu9
2024-09-21 17:40:10 status unpacked util-linux:armhf 2.34-0.1ubuntu9
2024-09-21 17:40:10 install zlib1g:armhf <none> 1:1.2.11.dfsg-2ubuntu1
2024-09-21 17:40:10 status half-installed zlib1g:armhf 1:1.2.11.dfsg-2ubuntu1
2024-09-21 17:40:11 status unpacked zlib1g:armhf 1:1.2.11.dfsg-2ubuntu1
2024-09-21 17:40:11 startup packages configure
2024-09-21 17:40:11 configure lsb-base:all 11.1.0ubuntu2 <none>
2024-09-21 17:40:11 status unpacked lsb-base:all 11.1.0ubuntu2
2024-09-21 17:40:11 status half-configured lsb-base:all 11.1.0ubuntu2
2024-09-21 17:40:11 status installed lsb-base:all 11.1.0ubuntu2
2024-09-21 17:40:12 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2024-09-21 17:40:12 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2024-09-21 17:40:12 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2024-09-21 17:40:12 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2024-09-21 17:40:12 configure libsemanage-common:all 3.0-1build2 <none>
2024-09-21 17:40:12 status unpacked libsemanage-common:all 3.0-1build2
2024-09-21 17:40:12 status half-configured libsemanage-common:all 3.0-1build2
2024-09-21 17:40:12 status installed libsemanage-common:all 3.0-1build2
2024-09-21 17:40:12 configure gcc-10-base:armhf 10-20200411-0ubuntu1 <none>
2024-09-21 17:40:12 status unpacked gcc-10-base:armhf 10-20200411-0ubuntu1
2024-09-21 17:40:12 status half-configured gcc-10-base:armhf 10-20200411-0ubuntu1
2024-09-21 17:40:12 status installed gcc-10-base:armhf 10-20200411-0ubuntu1
2024-09-21 17:40:12 configure ncurses-base:all 6.2-0ubuntu2 <none>
2024-09-21 17:40:12 status unpacked ncurses-base:all 6.2-0ubuntu2
2024-09-21 17:40:13 status half-configured ncurses-base:all 6.2-0ubuntu2
2024-09-21 17:40:13 status installed ncurses-base:all 6.2-0ubuntu2
2024-09-21 17:40:13 configure sensible-utils:all 0.0.12+nmu1 <none>
2024-09-21 17:40:13 status unpacked sensible-utils:all 0.0.12+nmu1
2024-09-21 17:40:13 status half-configured sensible-utils:all 0.0.12+nmu1
2024-09-21 17:40:13 status installed sensible-utils:all 0.0.12+nmu1
2024-09-21 17:40:13 configure libcrypt1:armhf 1:4.4.10-10ubuntu4 <none>
2024-09-21 17:40:13 status unpacked libcrypt1:armhf 1:4.4.10-10ubuntu4
2024-09-21 17:40:13 status half-configured libcrypt1:armhf 1:4.4.10-10ubuntu4
2024-09-21 17:40:13 status installed libcrypt1:armhf 1:4.4.10-10ubuntu4
2024-09-21 17:40:13 configure libgcc-s1:armhf 10-20200411-0ubuntu1 <none>
2024-09-21 17:40:13 status unpacked libgcc-s1:armhf 10-20200411-0ubuntu1
2024-09-21 17:40:13 status half-configured libgcc-s1:armhf 10-20200411-0ubuntu1
2024-09-21 17:40:13 status installed libgcc-s1:armhf 10-20200411-0ubuntu1
2024-09-21 17:40:13 configure libc6:armhf 2.31-0ubuntu9 <none>
2024-09-21 17:40:13 status unpacked libc6:armhf 2.31-0ubuntu9
2024-09-21 17:40:14 status half-configured libc6:armhf 2.31-0ubuntu9
2024-09-21 17:40:15 status installed libc6:armhf 2.31-0ubuntu9
2024-09-21 17:40:15 configure libudev1:armhf 245.4-4ubuntu3 <none>
2024-09-21 17:40:15 status unpacked libudev1:armhf 245.4-4ubuntu3
2024-09-21 17:40:15 status half-configured libudev1:armhf 245.4-4ubuntu3
2024-09-21 17:40:15 status installed libudev1:armhf 245.4-4ubuntu3
2024-09-21 17:40:16 configure libsepol1:armhf 3.0-1 <none>
2024-09-21 17:40:16 status unpacked libsepol1:armhf 3.0-1
2024-09-21 17:40:16 status half-configured libsepol1:armhf 3.0-1
2024-09-21 17:40:16 status installed libsepol1:armhf 3.0-1
2024-09-21 17:40:16 configure libattr1:armhf 1:2.4.48-5 <none>
2024-09-21 17:40:16 status unpacked libattr1:armhf 1:2.4.48-5
2024-09-21 17:40:16 status half-configured libattr1:armhf 1:2.4.48-5
2024-09-21 17:40:16 status installed libattr1:armhf 1:2.4.48-5
2024-09-21 17:40:16 configure debianutils:armhf 4.9.1 <none>
2024-09-21 17:40:16 status unpacked debianutils:armhf 4.9.1
2024-09-21 17:40:16 status half-configured debianutils:armhf 4.9.1
2024-09-21 17:40:16 status installed debianutils:armhf 4.9.1
2024-09-21 17:40:16 configure mawk:armhf 1.3.4.20200120-2 <none>
2024-09-21 17:40:16 status unpacked mawk:armhf 1.3.4.20200120-2
2024-09-21 17:40:16 status half-configured mawk:armhf 1.3.4.20200120-2
2024-09-21 17:40:17 status installed mawk:armhf 1.3.4.20200120-2
2024-09-21 17:40:17 configure libdebconfclient0:armhf 0.251ubuntu1 <none>
2024-09-21 17:40:17 status unpacked libdebconfclient0:armhf 0.251ubuntu1
2024-09-21 17:40:17 status half-configured libdebconfclient0:armhf 0.251ubuntu1
2024-09-21 17:40:17 status installed libdebconfclient0:armhf 0.251ubuntu1
2024-09-21 17:40:17 configure base-files:armhf 11ubuntu5 <none>
2024-09-21 17:40:17 status unpacked base-files:armhf 11ubuntu5
2024-09-21 17:40:18 status half-configured base-files:armhf 11ubuntu5
2024-09-21 17:40:20 status installed base-files:armhf 11ubuntu5
2024-09-21 17:40:20 configure libbz2-1.0:armhf 1.0.8-2 <none>
2024-09-21 17:40:20 status unpacked libbz2-1.0:armhf 1.0.8-2
2024-09-21 17:40:20 status half-configured libbz2-1.0:armhf 1.0.8-2
2024-09-21 17:40:20 status installed libbz2-1.0:armhf 1.0.8-2
2024-09-21 17:40:20 configure base-passwd:armhf 3.5.47 <none>
2024-09-21 17:40:20 status unpacked base-passwd:armhf 3.5.47
2024-09-21 17:40:20 status half-configured base-passwd:armhf 3.5.47
2024-09-21 17:40:22 status installed base-passwd:armhf 3.5.47
2024-09-21 17:40:22 configure libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2 <none>
